Date,Year,Month,Value
2015-04-09 ,2015,04-09 ,NA
2015-04-16 ,2015,04-16 ,NA
2015-05-06 ,2015,05-06 ,NA
2015-05-07 ,2015,05-07 ,NA
2015-05-12 ,2015,05-12 ,NA
2015-05-13 ,2015,05-13 ,71
2015-05-16 ,2015,05-16 ,NA
2015-05-21 ,2015,05-21 ,NA
2015-05-23 ,2015,05-23 ,NA
2015-05-27 ,2015,05-27 ,NA
2015-05-29 ,2015,05-29 ,NA
2015-05-30 ,2015,05-30 ,NA
2015-06-01 ,2015,06-01 ,NA
2015-06-02 ,2015,06-02 ,72
2015-06-03 ,2015,06-03 ,NA
2015-06-04 ,2015,06-04 ,NA
2015-06-09 ,2015,06-09 ,NA
2015-06-10 ,2015,06-10 ,NA
2015-06-14 ,2015,06-14 ,NA
2015-06-16 ,2015,06-16 ,87
2015-06-18 ,2015,06-18 ,NA
2015-06-19 ,2015,06-19 ,NA
2015-06-21 ,2015,06-21 ,NA
2015-06-23 ,2015,06-23 ,NA
2015-06-24 ,2015,06-24 ,NA
2015-06-29 ,2015,06-29 ,NA
2015-06-30 ,2015,06-30 ,95
2015-07-01 ,2015,07-01 ,NA
2015-07-06 ,2015,07-06 ,NA
2015-07-07 ,2015,07-07 ,NA
2015-07-13 ,2015,07-13 ,NA
2015-07-14 ,2015,07-14 ,NA
2015-07-16 ,2015,07-16 ,NA
2015-07-18 ,2015,07-18 ,NA
2015-07-21 ,2015,07-21 ,99
2015-07-23 ,2015,07-23 ,NA
2015-07-25 ,2015,07-25 ,NA
2015-07-26 ,2015,07-26 ,NA
2015-07-29 ,2015,07-29 ,NA
2015-07-30 ,2015,07-30 ,NA
2015-08-02 ,2015,08-02 ,NA
2015-08-05 ,2015,08-05 ,112
2015-08-07 ,2015,08-07 ,NA
2015-08-09 ,2015,08-09 ,NA
2015-08-10 ,2015,08-10 ,NA
2015-08-11 ,2015,08-11 ,NA
2015-08-15 ,2015,08-15 ,NA
2015-08-18 ,2015,08-18 ,NA
2015-08-19 ,2015,08-19 ,116
2015-08-23 ,2015,08-23 ,NA
2015-08-24 ,2015,08-24 ,NA
2015-08-25 ,2015,08-25 ,NA
2015-08-31 ,2015,08-31 ,NA
2015-09-01 ,2015,09-01 ,NA
2015-09-02 ,2015,09-02 ,NA
2015-09-04 ,2015,09-04 ,NA
2015-09-07 ,2015,09-07 ,NA
2015-09-08 ,2015,09-08 ,NA
2015-09-12 ,2015,09-12 ,NA
2015-09-13 ,2015,09-13 ,NA
2015-09-17 ,2015,09-17 ,NA
2015-09-22 ,2015,09-22 ,90
2015-09-24 ,2015,09-24 ,NA
2015-09-29 ,2015,09-29 ,NA
2015-10-01 ,2015,10-01 ,NA
2015-10-09 ,2015,10-09 ,NA
2015-10-17 ,2015,10-17 ,NA
2015-10-22 ,2015,10-22 ,NA
2015-10-27 ,2015,10-27 ,NA
2014-04-09 ,2014,04-09 ,NA
2014-04-16 ,2014,04-16 ,NA
2014-05-06 ,2014,05-06 ,65
2014-05-07 ,2014,05-07 ,NA
2014-05-12 ,2014,05-12 ,64
2014-05-13 ,2014,05-13 ,NA
2014-05-16 ,2014,05-16 ,NA
2014-05-21 ,2014,05-21 ,NA
2014-05-23 ,2014,05-23 ,NA
2014-05-27 ,2014,05-27 ,70
2014-05-29 ,2014,05-29 ,NA
2014-05-30 ,2014,05-30 ,NA
2014-06-01 ,2014,06-01 ,NA
2014-06-02 ,2014,06-02 ,NA
2014-06-03 ,2014,06-03 ,NA
2014-06-04 ,2014,06-04 ,NA
2014-06-09 ,2014,06-09 ,62
2014-06-10 ,2014,06-10 ,NA
2014-06-14 ,2014,06-14 ,NA
2014-06-16 ,2014,06-16 ,72
2014-06-18 ,2014,06-18 ,NA
2014-06-19 ,2014,06-19 ,NA
2014-06-21 ,2014,06-21 ,NA
2014-06-23 ,2014,06-23 ,NA
2014-06-24 ,2014,06-24 ,62
2014-06-29 ,2014,06-29 ,NA
2014-06-30 ,2014,06-30 ,65
2014-07-01 ,2014,07-01 ,NA
2014-07-06 ,2014,07-06 ,NA
2014-07-07 ,2014,07-07 ,67
2014-07-13 ,2014,07-13 ,NA
2014-07-14 ,2014,07-14 ,67
2014-07-16 ,2014,07-16 ,67
2014-07-18 ,2014,07-18 ,NA
2014-07-21 ,2014,07-21 ,NA
2014-07-23 ,2014,07-23 ,NA
