Date,Year,Month,Value
4/9/2015,2015,9-Apr,0.00
4/16/2015,2015,16-Apr,0.00
5/6/2015,2015,6-May,0.00
5/7/2015,2015,7-May,0.00
5/12/2015,2015,12-May,0.00
5/13/2015,2015,13-May,71
5/16/2015,2015,16-May,0.00
5/21/2015,2015,21-May,0.00
5/23/2015,2015,23-May,0.00
5/27/2015,2015,27-May,0.00
5/29/2015,2015,29-May,0.00
5/30/2015,2015,30-May,0.00
6/1/2015,2015,1-Jun,0.00
6/2/2015,2015,2-Jun,72
6/3/2015,2015,3-Jun,0.00
6/4/2015,2015,4-Jun,0.00
6/9/2015,2015,9-Jun,0.00
6/10/2015,2015,10-Jun,0.00
6/14/2015,2015,14-Jun,0.00
6/16/2015,2015,16-Jun,87
6/18/2015,2015,18-Jun,0.00
6/19/2015,2015,19-Jun,0.00
6/21/2015,2015,21-Jun,0.00
6/23/2015,2015,23-Jun,0.00
6/24/2015,2015,24-Jun,0.00
6/29/2015,2015,29-Jun,0.00
6/30/2015,2015,30-Jun,95
7/1/2015,2015,1-Jul,0.00
7/6/2015,2015,6-Jul,0.00
7/7/2015,2015,7-Jul,0.00
7/13/2015,2015,13-Jul,0.00
7/14/2015,2015,14-Jul,0.00
7/16/2015,2015,16-Jul,0.00
7/18/2015,2015,18-Jul,0.00
7/21/2015,2015,21-Jul,99
7/23/2015,2015,23-Jul,0.00
7/25/2015,2015,25-Jul,0.00
7/26/2015,2015,26-Jul,0.00
7/29/2015,2015,29-Jul,0.00
7/30/2015,2015,30-Jul,0.00
8/2/2015,2015,2-Aug,0.00
8/5/2015,2015,5-Aug,112
8/7/2015,2015,7-Aug,0.00
8/9/2015,2015,9-Aug,0.00
8/10/2015,2015,10-Aug,0.00
8/11/2015,2015,11-Aug,0.00
8/15/2015,2015,15-Aug,0.00
8/18/2015,2015,18-Aug,0.00
8/19/2015,2015,19-Aug,116
8/23/2015,2015,23-Aug,0.00
8/24/2015,2015,24-Aug,0.00
8/25/2015,2015,25-Aug,0.00
8/31/2015,2015,31-Aug,0.00
9/1/2015,2015,1-Sep,0.00
9/2/2015,2015,2-Sep,0.00
9/4/2015,2015,4-Sep,0.00
9/7/2015,2015,7-Sep,0.00
9/8/2015,2015,8-Sep,0.00
9/12/2015,2015,12-Sep,0.00
9/13/2015,2015,13-Sep,0.00
9/17/2015,2015,17-Sep,0.00
9/22/2015,2015,22-Sep,90
9/24/2015,2015,24-Sep,0.00
9/29/2015,2015,29-Sep,0.00
10/1/2015,2015,1-Oct,0.00
10/9/2015,2015,9-Oct,0.00
10/17/2015,2015,17-Oct,0.00
10/22/2015,2015,22-Oct,0.00
10/27/2015,2015,27-Oct,0.00
4/9/2014,2014,9-Apr,0.00
4/16/2014,2014,16-Apr,0.00
5/6/2014,2014,6-May,65
5/7/2014,2014,7-May,0.00
5/12/2014,2014,12-May,64
5/13/2014,2014,13-May,0.00
5/16/2014,2014,16-May,0.00
5/21/2014,2014,21-May,0.00
5/23/2014,2014,23-May,0.00
5/27/2014,2014,27-May,70
5/29/2014,2014,29-May,0.00
5/30/2014,2014,30-May,0.00
6/1/2014,2014,1-Jun,0.00
6/2/2014,2014,2-Jun,0.00
6/3/2014,2014,3-Jun,0.00
6/4/2014,2014,4-Jun,0.00
6/9/2014,2014,9-Jun,62
6/10/2014,2014,10-Jun,0.00
6/14/2014,2014,14-Jun,0.00
6/16/2014,2014,16-Jun,72
6/18/2014,2014,18-Jun,0.00
6/19/2014,2014,19-Jun,0.00
6/21/2014,2014,21-Jun,0.00
6/23/2014,2014,23-Jun,0.00
6/24/2014,2014,24-Jun,62
6/29/2014,2014,29-Jun,0.00
6/30/2014,2014,30-Jun,65
7/1/2014,2014,1-Jul,0.00
7/6/2014,2014,6-Jul,0.00
7/7/2014,2014,7-Jul,67
7/13/2014,2014,13-Jul,0.00
7/14/2014,2014,14-Jul,67
7/16/2014,2014,16-Jul,67
7/18/2014,2014,18-Jul,0.00
7/21/2014,2014,21-Jul,0.00
7/23/2014,2014,23-Jul,0.00
7/25/2014,2014,25-Jul,0.00
7/26/2014,2014,26-Jul,0.00
7/29/2014,2014,29-Jul,68
7/30/2014,2014,30-Jul,0.00
8/2/2014,2014,2-Aug,0.00
8/5/2014,2014,5-Aug,0.00
8/7/2014,2014,7-Aug,0.00
8/9/2014,2014,9-Aug,0.00
8/10/2014,2014,10-Aug,0.00
8/11/2014,2014,11-Aug,79
8/15/2014,2014,15-Aug,0.00
8/18/2014,2014,18-Aug,0.00
8/19/2014,2014,19-Aug,0.00
8/23/2014,2014,23-Aug,0.00
8/24/2014,2014,24-Aug,0.00
8/25/2014,2014,25-Aug,0.00
8/31/2014,2014,31-Aug,0.00
9/1/2014,2014,1-Sep,0.00
9/2/2014,2014,2-Sep,87
9/4/2014,2014,4-Sep,0.00
9/7/2014,2014,7-Sep,0.00
9/8/2014,2014,8-Sep,0.00
9/12/2014,2014,12-Sep,0.00
9/13/2014,2014,13-Sep,0.00
9/17/2014,2014,17-Sep,0.00
9/22/2014,2014,22-Sep,0.00
9/24/2014,2014,24-Sep,0.00
9/29/2014,2014,29-Sep,0.00
10/1/2014,2014,1-Oct,0.00
10/9/2014,2014,9-Oct,85
10/17/2014,2014,17-Oct,0.00
10/22/2014,2014,22-Oct,0.00
10/27/2014,2014,27-Oct,0.00
4/9/2013,2013,9-Apr,0.00
4/16/2013,2013,16-Apr,0.00
5/6/2013,2013,6-May,0.00
5/7/2013,2013,7-May,0.00
5/12/2013,2013,12-May,0.00
5/13/2013,2013,13-May,0.00
5/16/2013,2013,16-May,65
5/21/2013,2013,21-May,0.00
5/23/2013,2013,23-May,0.00
5/27/2013,2013,27-May,0.00
5/29/2013,2013,29-May,70
5/30/2013,2013,30-May,0.00
6/1/2013,2013,1-Jun,0.00
6/2/2013,2013,2-Jun,0.00
6/3/2013,2013,3-Jun,0.00
6/4/2013,2013,4-Jun,0.00
6/9/2013,2013,9-Jun,0.00
6/10/2013,2013,10-Jun,72
6/14/2013,2013,14-Jun,0.00
6/16/2013,2013,16-Jun,0.00
6/18/2013,2013,18-Jun,73
6/19/2013,2013,19-Jun,0.00
6/21/2013,2013,21-Jun,0.00
6/23/2013,2013,23-Jun,0.00
6/24/2013,2013,24-Jun,0.00
6/29/2013,2013,29-Jun,0.00
6/30/2013,2013,30-Jun,0.00
7/1/2013,2013,1-Jul,86
7/6/2013,2013,6-Jul,0.00
7/7/2013,2013,7-Jul,0.00
7/13/2013,2013,13-Jul,0.00
7/14/2013,2013,14-Jul,0.00
7/16/2013,2013,16-Jul,0.00
7/18/2013,2013,18-Jul,74
7/21/2013,2013,21-Jul,0.00
7/23/2013,2013,23-Jul,0.00
7/25/2013,2013,25-Jul,0.00
7/26/2013,2013,26-Jul,0.00
7/29/2013,2013,29-Jul,0.00
7/30/2013,2013,30-Jul,84
8/2/2013,2013,2-Aug,0.00
8/5/2013,2013,5-Aug,0.00
8/7/2013,2013,7-Aug,0.00
8/9/2013,2013,9-Aug,0.00
8/10/2013,2013,10-Aug,0.00
8/11/2013,2013,11-Aug,0.00
8/15/2013,2013,15-Aug,0.00
8/18/2013,2013,18-Aug,0.00
8/19/2013,2013,19-Aug,0.00
8/23/2013,2013,23-Aug,0.00
8/24/2013,2013,24-Aug,0.00
8/25/2013,2013,25-Aug,0.00
8/31/2013,2013,31-Aug,0.00
9/1/2013,2013,1-Sep,0.00
